date,item_type,item_name,quantity,price,total_amount,season
2024-01-01,Pants,Wide Leg Pants,3,147.46,442.38,Winter
2024-01-01,Blouse,Formal Blouse,3,57.0,171.0,Winter
2024-01-01,Dress,Business Formal Dress,3,83.3,249.89999999999998,Winter
2024-01-01,Blouse,Silk Blouse,2,126.59,253.18,Winter
2024-01-01,Blouse,Cotton Shirt,1,63.55,63.55,Winter
2024-01-01,Dress,Business Formal Dress,1,152.21,152.21,Winter
2024-01-01,Dress,Summer Floral Dress,3,139.44,418.32,Winter
2024-01-01,Blouse,Casual Top,3,72.37,217.11,Winter
2024-01-01,Blouse,Cotton Shirt,3,111.81,335.43,Winter
2024-01-01,Pants,Wide Leg Pants,3,146.78,440.34000000000003,Winter
2024-01-01,Dress,Casual Maxi Dress,1,162.31,162.31,Winter
2024-01-02,Pants,Jeans,2,185.28,370.56,Winter
2024-01-02,Blouse,Cotton Shirt,1,73.37,73.37,Winter
2024-01-02,Blouse,Casual Top,3,68.28,204.84,Winter
2024-01-02,Dress,Business Formal Dress,2,67.36,134.72,Winter
2024-01-02,Dress,Business Formal Dress,2,89.09,178.18,Winter
2024-01-02,Blouse,Cotton Shirt,2,65.64,131.28,Winter
2024-01-02,Dress,Casual Maxi Dress,2,186.12,372.24,Winter
2024-01-02,Blouse,Cotton Shirt,3,123.13,369.39,Winter
2024-01-02,Pants,Wide Leg Pants,1,144.41,144.41,Winter
2024-01-03,Blouse,Silk Blouse,1,71.47,71.47,Winter
2024-01-03,Dress,Summer Floral Dress,1,180.22,180.22,Winter
2024-01-03,Dress,Casual Maxi Dress,1,124.54,124.54,Winter
2024-01-03,Pants,Casual Pants,3,104.27,312.81,Winter
2024-01-03,Pants,Business Trousers,2,148.24,296.48,Winter
2024-01-03,Pants,Jeans,3,95.31,285.93,Winter
2024-01-03,Dress,Business Formal Dress,1,128.37,128.37,Winter
2024-01-03,Pants,Casual Pants,1,155.03,155.03,Winter
2024-01-03,Pants,Wide Leg Pants,3,151.66,454.98,Winter
2024-01-03,Pants,Business Trousers,3,124.16,372.48,Winter
2024-01-04,Blouse,Formal Blouse,2,109.86,219.72,Winter
2024-01-04,Pants,Casual Pants,3,110.46,331.38,Winter
2024-01-04,Dress,Casual Maxi Dress,2,125.15,250.3,Winter
2024-01-04,Dress,Casual Maxi Dress,3,66.92,200.76,Winter
2024-01-04,Dress,Business Formal Dress,2,145.1,290.2,Winter
2024-01-04,Dress,Casual Maxi Dress,3,151.15,453.45000000000005,Winter
2024-01-04,Pants,Business Trousers,3,107.51,322.53000000000003,Winter
2024-01-04,Pants,Casual Pants,2,100.21,200.42,Winter
2024-01-04,Blouse,Silk Blouse,1,72.65,72.65,Winter
2024-01-04,Blouse,Casual Top,2,113.29,226.58,Winter
2024-01-04,Blouse,Formal Blouse,3,74.95,224.85000000000002,Winter
2024-01-04,Dress,Casual Maxi Dress,1,195.6,195.6,Winter
2024-01-04,Dress,Casual Maxi Dress,1,125.08,125.08,Winter
2024-01-04,Dress,Casual Maxi Dress,3,63.32,189.96,Winter
2024-01-05,Pants,Jeans,3,119.26,357.78000000000003,Winter
2024-01-05,Pants,Jeans,1,106.43,106.43,Winter
2024-01-05,Dress,Evening Cocktail Dress,2,205.15,410.3,Winter
2024-01-05,Pants,Jeans,1,159.73,159.73,Winter
2024-01-05,Dress,Business Formal Dress,1,67.72,67.72,Winter
2024-01-06,Blouse,Cotton Shirt,3,81.88,245.64,Winter
2024-01-06,Dress,Business Formal Dress,3,195.82,587.46,Winter
2024-01-06,Blouse,Cotton Shirt,2,91.47,182.94,Winter
2024-01-06,Blouse,Casual Top,3,96.42,289.26,Winter
2024-01-06,Pants,Wide Leg Pants,3,108.46,325.38,Winter
2024-01-06,Blouse,Casual Top,2,86.62,173.24,Winter
2024-01-06,Blouse,Cotton Shirt,1,91.86,91.86,Winter
2024-01-06,Dress,Business Formal Dress,1,137.01,137.01,Winter
2024-01-06,Pants,Wide Leg Pants,3,118.0,354.0,Winter
2024-01-06,Blouse,Formal Blouse,3,113.76,341.28000000000003,Winter
2024-01-06,Dress,Summer Floral Dress,3,120.74,362.21999999999997,Winter
2024-01-06,Blouse,Casual Top,1,60.0,60.0,Winter
2024-01-06,Dress,Evening Cocktail Dress,2,198.23,396.46,Winter
2024-01-07,Blouse,Casual Top,1,93.42,93.42,Winter
2024-01-07,Blouse,Silk Blouse,1,56.45,56.45,Winter
2024-01-07,Dress,Business Formal Dress,1,155.37,155.37,Winter
2024-01-07,Dress,Casual Maxi Dress,3,165.25,495.75,Winter
2024-01-07,Blouse,Casual Top,3,120.02,360.06,Winter
2024-01-07,Dress,Business Formal Dress,2,177.75,355.5,Winter
2024-01-07,Pants,Wide Leg Pants,3,93.76,281.28000000000003,Winter
2024-01-07,Dress,Summer Floral Dress,2,104.04,208.08,Winter
2024-01-07,Blouse,Cotton Shirt,1,104.35,104.35,Winter
2024-01-07,Dress,Business Formal Dress,1,166.99,166.99,Winter
2024-01-08,Blouse,Silk Blouse,3,63.31,189.93,Winter
2024-01-08,Pants,Business Trousers,3,116.07,348.21,Winter
2024-01-08,Pants,Jeans,2,111.44,222.88,Winter
2024-01-08,Blouse,Cotton Shirt,3,127.31,381.93,Winter
2024-01-08,Blouse,Casual Top,2,99.49,198.98,Winter
2024-01-08,Dress,Evening Cocktail Dress,3,157.13,471.39,Winter
2024-01-08,Dress,Summer Floral Dress,3,96.14,288.42,Winter
2024-01-08,Pants,Wide Leg Pants,1,152.51,152.51,Winter
2024-01-08,Blouse,Silk Blouse,2,71.36,142.72,Winter
2024-01-08,Pants,Wide Leg Pants,1,84.47,84.47,Winter
2024-01-08,Dress,Evening Cocktail Dress,3,204.4,613.2,Winter
2024-01-08,Dress,Business Formal Dress,1,105.58,105.58,Winter
2024-01-09,Pants,Wide Leg Pants,2,123.05,246.1,Winter
2024-01-09,Pants,Jeans,2,157.97,315.94,Winter
2024-01-09,Blouse,Casual Top,3,102.69,308.07,Winter
2024-01-09,Blouse,Formal Blouse,2,90.47,180.94,Winter
2024-01-09,Blouse,Silk Blouse,1,116.89,116.89,Winter
2024-01-09,Pants,Jeans,1,121.63,121.63,Winter
2024-01-09,Blouse,Formal Blouse,2,82.58,165.16,Winter
2024-01-09,Dress,Business Formal Dress,2,196.55,393.1,Winter
2024-01-10,Pants,Business Trousers,1,150.61,150.61,Winter
2024-01-10,Blouse,Casual Top,3,53.06,159.18,Winter
2024-01-10,Pants,Casual Pants,2,123.36,246.72,Winter
2024-01-10,Pants,Casual Pants,1,86.68,86.68,Winter
2024-01-10,Blouse,Formal Blouse,2,127.55,255.1,Winter
2024-01-10,Blouse,Cotton Shirt,2,51.44,102.88,Winter
2024-01-10,Blouse,Formal Blouse,1,77.82,77.82,Winter
2024-01-11,Dress,Casual Maxi Dress,1,74.85,74.85,Winter
2024-01-11,Blouse,Formal Blouse,1,104.96,104.96,Winter
2024-01-11,Blouse,Casual Top,3,106.17,318.51,Winter
2024-01-11,Dress,Business Formal Dress,2,102.11,204.22,Winter
2024-01-11,Pants,Jeans,1,85.54,85.54,Winter
2024-01-11,Blouse,Formal Blouse,1,83.27,83.27,Winter
2024-01-11,Dress,Evening Cocktail Dress,3,196.84,590.52,Winter
2024-01-11,Blouse,Casual Top,1,92.94,92.94,Winter
